1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
2,3
2,5
2,11
3,13
4,5
4,9
4,10
4,12
4,14
5,14
6,15
7,16
7,11
8,17
8,18
8,19
9,10
9,20
9,21
9,22
9,23
9,24
10,12
10,24
10,25
12,25
12,26
13,27
13,28
13,29
14,27
14,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,38
15,39
15,40
15,41
16,42
16,43
17,18
17,19
17,45
17,46
18,44
18,47
18,48
18,49
18,50
19,52
19,53
20,21
20,30
20,54
20,55
20,56
20,57
20,58
21,59
22,60
25,26
26,49
27,30
27,61
13,61
28,62
28,63
28,64
28,65
29,66
30,67
30,68
31,39
32,35
32,41
32,69
33,35
34,35
35,70
40,71
41,49
35,41
35,49
41,72
41,73
42,74
42,75
42,76
42,77
48,78
48,79
49,81
49,82
49,83
49,84
49,85
49,86
49,87
49,72
49,73
49,88
49,89
49,90
51,91
51,92
53,93
57,81
57,82
57,83
57,84
57,94
61,95
62,65
63,65
64,65
66,96
67,69
67,27
70,97
72,98
73,81
74,99
75,100
76,101
78,102
78,103
79,104
79,105
79,106
80,107
91,92
86,87
86,97
93,108
42,108
94,109
97,110
97,111
97,112
104,113
104,114
104,115
105,116
106,117
107,118
108,119
109,120
112,121
112,122
113,123
114,124
115,125
116,126
112,127
118,128
119,129
119,130
119,131
119,132
119,133
119,134
119,135
123,136
136,137
114,124
124,138
125,139
128,30
128,74
128,140
128,20
128,141
128,142
128,143
143,144
130,145
130,146
130,147
138,148
130,139
139,49
140,149
141,150
141,151
141,152
144,148
145,147
145,153
148,154
149,41
149,51
149,73
149,78
149,79
149,80
149,114
149,115
149,116
149,136
149,138
149,145
149,152
149,155
120,156
120,157
120,158
120,159
120,160
120,161
120,162
120,163
156,159
156,164
157,165
165,166
165,167
167,168
168,169
169,170
170,171
140,171
128,171
171,172
171,173
171,174
113,174
160,164
160,165
175,147
175,159
175,176
175,177
26,177
165,178
15,178
93,178
11,179
158,179
158,180
180,181
181,182
182,178
178,183
183,184
184,185
185,186
186,187
2,158
31,185
38,184
38,185
38,186
37,183
36,178
179,188
24,188
45,173
47,173
109,184
170,189
58,189
45,169
163,190
191,190
149,190
149,191
173,192
19,193
77,193
158,193
191,192
192,194
193,194
193,195
193,196
193,197
74,198
198,199
198,200
200,194
200,195
200,196
200,197
198,201
74,201
128,198
201,202
200,205
74,203
74,204
202,205
205,206
58,180
74,161
111,161
120,161
100,161
157,161
170,161
89,161
90,161
89,73
9,90
19,90
62,90
64,90
88,90
90,96
90,125
90,149
90,189
90,201
200,207
161,207
89,207
90,207
120,207
2,208
208,209
162,211
209,211
209,210
209,212
